04/24, CRUGER DELI AND CANDY BRONX NY, 19.44, Food
04/24, ALIZ HOTEL TIMES SQ NY NEW YORK NY, 140.05, Other
04/26, ALDI 73019 BRONX BRONX NY, 26.58, Food
04/26, AMZN Mktp US*9U4C88Y43 Amzn.com/bill WA, 57.44, Other
04/28, PARADISE FOOD MARKET BRONX NY, 3.30, Food
04/28, 2514 WESTCHESTER CONVENIE BRONX NY, 5.20, Other
04/29, BP#2240540GREEN ENERGY M HICKSVILLE NY, 22.29, Other
04/29, TST* THE THEO THAI BISTRO Bethpage NY, 35.00, Food
04/29, PLAYA BOWLS LAWRENCE NY, 17.89, Food
04/29, MARSHALLS #0179 LAWRENCE NY, 47.76, Other
04/30, CRUGER DELI AND CANDY BRONX NY, 16.64, Food
05/02, SQ *EMPIRE HALAL PLATTERS New York NY, 14.15, Food
05/04, AMZN Mktp US*IF8K93EN3 Amzn.com/bill WA, 65.31, Other
05/05, Amazon.com*L27U97BD3 Amzn.com/bill WA, 44.99, Other
05/02, CHICK-FIL-A #04141 NEW YORK NY, 6.30, Food
05/05, CRUGER DELI AND CANDY BRONX NY, 18.72, Food
05/04, CRUGER DELI AND CANDY BRONX NY, 16.64, Food
05/06, ROSA ROSA BLOSSOMS INC NEW YORK NY, 16.33, Other
05/06, SQ *EMPIRE HALAL PLATTERS New York NY, 26.13, Food
05/06, DUNKIN #349809 Q35 NEW YORK NY, 2.69, Food
05/06, LA FITNESS 949-255-8100 CA, 36.56, Bill
05/07, DAVES HOT CHICKEN 1169 NEW YORK NY, 20.53, Food
05/07, TARGET 00033126 NEW YORK NY, 10.51, Other
05/07, DUANE READE NEW YORK NY, 3.31, Other
05/06, DAVES HOT CHICKEN 1169 NEW YORK NY, 23.26, Food
05/07, LULULEMON 66TH STREET NEW YORK NY, 59.05, Other
05/08, UBER EATS HELP.UBER.COM CA, 33.20, Food
05/09, UBER EATS HELP.UBER.COM CA, 39.22, Food
05/11, APPLE.COM/BILL 866-712-7753 CA, 13.05, Bill
05/11, 76 - WILLIAMSBRIDGE RO BRONX NY, 29.00, Other
05/13, SHIRAZI KARAHI QUEENS NY, 9.77, Food
05/12, APPLE.COM/BILL 866-712-7753 CA, 4.34, Bill
05/12, APPLE.COM/BILL 866-712-7753 CA, 4.34, Bill
05/13, APPLE.COM/BILL 866-712-7753 CA, 2.99, Bill
05/13, DD/BR #351935 NEW YORK NY, 4.56, Food
05/13, DD/BR #351935 NEW YORK NY, 7.93, Food
05/14, SQ *EMPIRE HALAL PLATTERS New York NY, 50.08, Food
05/16, AMZN Mktp US*7O6PB1U53 Amzn.com/bill WA, 32.65, Other
05/15, NU HOTEL BROOKLYN NY, 163.01, Other
05/16, DAVES HOT CHICKEN 1169 NEW YORK NY, 17.82, Food
05/19, ALDI 73019 BRONX BRONX NY, 40.03, Food
05/19, PARADISE FOOD MARKET BRONX NY, 4.46, Food
05/21, HUNTER FAST FOOD NEW YORK NY, 8.98, Food
05/20, LULULEMON 66TH STREET NEW YORK NY, 59.05, Other
05/21, TARGET 00033126 NEW YORK NY, 17.31, Other
05/21, CRUGER DELI AND CANDY BRONX NY, 22.36, Food
05/23, UBER EATS HELP.UBER.COM CA, 33.20, Food
05/23, UBER EATS HELP.UBER.COM CA, 32.14, Food
