01/24, CHEGG ORDER 855-440-1323 CA, 21.72, Bill
01/25, VISION RX PC 800-815-8114 UT, 20.00, Other
01/26, Frames for America Inc 713-914-0011 TX, 181.56, Other
01/30, UBER EATS HELP.UBER.COM CA, 14.21, Food
01/31, AMZN Mktp US*R29VX4L12 Amzn.com/bill WA, 76.20, Other
01/31, SQ *EMPIRE HALAL PLATTERS New York NY, 20.69, Food
01/31, UBER EATS HELP.UBER.COM CA, 25.25, Food
02/01, Amazon Prime*R22EG8KD0 Amzn.com/bill WA, 16.32, Other
01/31, EVENTIM USA TICKETING 302-6365401 NY, 60.30, Other
01/31, CANTEEN 8 HUNT VALLEY MD, 2.50, Other
02/02, SQ *EMPIRE HALAL PLATTERS New York NY, 26.13, Food
02/03, PARADISE FOOD MARKET BRONX NY, 5.54, Food
02/05, HUNTER FAST FOOD NEW YORK NY, 12.35, Food
02/06, & LA FITNESS 949-255-8100 CA, 36.56, Bill
02/07, HUNTER FAST FOOD NEW YORK NY, 11.23, Food
02/09, SQ *PADOCA BAKERY New York NY, 38.11, Food
02/10, UBER EATS HELP.UBER.COM CA, 37.30, Food
02/09, HARRY POTTER NORTH AMERI NEW YORK NY, 19.60, Other
02/09, ROSA ROSA BLOSSOMS INC NEW YORK NY, 32.66, Other
02/09, GOURMET SQUARE INC NEW YORK NY, 1.04, Food
02/09, GOURMET SQUARE INC NEW YORK NY, 15.03, Food
02/10, KNIGHTS TOWING CORP BROOKLYN NY, 195.98, Other
02/10, JADE EATERY AND LOUNGE FOREST HILLS NY, 217.70, Food
02/13, APPLE.COM/BILL 866-712-7753 CA, 2.99, Bill
02/14, ATI11-02414083873 ATM.TK CA, 37.76, Other
02/13, CRUGER DELI AND CANDY BRONX NY, 41.60, Food
02/17, UBER EATS HELP.UBER.COM CA, 24.16, Food
02/17, UBER EATS HELP.UBER.COM CA, 63.00, Food
02/19, CRUGER DELI AND CANDY BRONX NY, 38.48, Food
02/20, TST* HOT PEPPERS - LIC LONG ISLAND C NY, 34.83, Food
02/22, CHEGG ORDER 855-440-1323 CA, 21.72, Other
02/22, TST* HOT PEPPERS - LIC LONG ISLAND C NY, 19.55, Food
02/23, TST* PARIS BAGUETTE - LON LONG ISLAND C NY, 2.71, Food
02/23, TST* PARIS BAGUETTE - LON LONG ISLAND C NY, 5.98, Food
